map,idea,idea_num,user,x,y,x_real,y_real,x_example,y_example
spacy,Take an Art Class,4,8,-8,-8,18.861757,5.62028,18.64999,6.5470974
spacy,Take an Art Class,4,9,18,6,18.861757,5.620281,18.64999,6.5470975
spacy,Take an Art Class,4,10,-14,20,18.861757,5.620282,18.64999,6.5470976
spacy,Take an Art Class,4,11,18.64999,6.5470967,18.861757,5.620283,18.64999,6.5470977
spacy,Take an Art Class,4,12,18,6,18.861757,5.620284,18.64999,6.5470978
spacy,See a Broadway Play,5,1,2,-22.5,1.5326918,-23.38605,1.2407947,-22.53718
spacy,See a Broadway Play,5,2,24,-22.53,1.5326918,-23.38606,1.2407947,-22.53719
spacy,See a Broadway Play,5,3,,,1.5326918,-23.38607,1.2407947,-22.5372
spacy,See a Broadway Play,5,4,5,-22,1.5326918,-23.38608,1.2407947,-22.53721
spacy,See a Broadway Play,5,5,1,-21,1.5326918,-23.38609,1.2407947,-22.53722
spacy,See a Broadway Play,5,6,0,-20,1.5326918,-23.3861,1.2407947,-22.53723
spacy,See a Broadway Play,5,7,1,22,1.5326918,-23.38611,1.2407947,-22.53724
spacy,See a Broadway Play,5,8,3,-21,1.5326918,-23.38612,1.2407947,-22.53725
spacy,See a Broadway Play,5,9,1,-22,1.5326918,-23.38613,1.2407947,-22.53726
spacy,See a Broadway Play,5,10,24,-22,1.5326918,-23.38614,1.2407947,-22.53727
spacy,See a Broadway Play,5,11,1.2407947,-22.53718,1.5326918,-23.38615,1.2407947,-22.53728
spacy,See a Broadway Play,5,12,1,-22,1.5326918,-23.38616,1.2407947,-22.53729
